tog	-1.4397481634527192
dint	-1.124720053131074
maize	-1.874933840214384
tass	-1.5112848897657298
bonk	-1.9204818172748084
cruse	-1.349368673323265
nape	-1.7947203696921235
woad	-1.8876031102257775
cram	-1.4807886387316518
tyke	-1.878966578229695
pent	-1.0288638902975606
naff	-1.803702176087222
zap	-2.7283282725643994
trod	-1.31838579736347
yob	-2.1855472030690906
waifs	-2.6160180748042587
fluke	-1.6399289235445853
flamb	-1.9674955062511035
bung	-1.3637350574097618
oomph	-2.364324444422633
cuss	-1.4673025974639975
suede	-1.7489100411599128
sleuth	-2.1256170932569693
shrove	-1.3461420033781732
yak	-2.080538616687945
whig	-1.3418883102263515
niff	-1.5485321589747287
snub	-2.3701394935137796
bawl	-2.0331656519522863
fount	-1.167025749657723
cloy	-1.3875989417778587
hoard	-1.6460154480963312
stun	-1.6091197461688176
yoicks	-2.0442857150933027
trove	-1.1676266739532615
quoth	-1.5803078585522132
hutch	-1.6245272204403434
rune	-1.5488163386844787
scram	-1.4987918650760155
qualm	-1.4432527438146956
spool	-1.588104476607327
preen	-1.135489508308222
shush	-1.7079299942453656
bray	-1.342168125268259
halve	-1.5153434382783844
chock	-1.5706012795592734
crick	-1.3698403276506828
hoax	-2.0959841916605915
grieve	-1.3695428151719624
pang	-1.2401143308603328
cosh	-1.7891457216207556
snip	-2.171895597197387
slue	-1.4630956539428375
mooch	-2.2027033915442984
yew	-1.805426136005747
waif	-2.2140653558180543
node	-1.4950969509134826
trudge	-1.3586967116776483
chubb	-1.9905488367831425
glitz	-1.8447655120859234
croon	-1.5148423417873538
stomp	-1.7123083247777418
bole	-1.3871407099941766
dote	-1.6114468017746186
rile	-1.4838697054641823
pule	-1.387685125256471
sate	-1.2523376938925401
lank	-1.4035552585793325
hah	-1.7758582140095918
crake	-1.6354191173234187
punt	-1.3909179788923427
daw	-1.569751439361552
prang	-1.3601425835533143
chug	-1.8074930348482252
yowl	-1.9522286922766665
prude	-1.7597552279319792
thatch	-0.999683516373943
peek	-1.4749030174890625
throe	-1.5478694650152511
whinge	-1.1062025372677284
pax	-1.6698591461176064
browse	-1.827606233759789
scoot	-1.6076562153398504
wrasse	-1.791198867536539
tine	-1.3569886936634068
scrawl	-1.8097367897654653
cress	-1.2016529244130751
rant	-1.2812640402398991
swat	-1.5276728736121667
flaunt	-1.69956572726606
vane	-1.592156289832611
nave	-1.352799554317401
dude	-1.9100215479248757
primp	-1.5529594592382794
rind	-1.2816746180333414
mog	-1.7649198200379348
brawn	-1.4850518627875
skimp	-1.9833655385698448
boll	-1.285870170484404
snooze	-2.196716090005599
flunk	-1.653134232706363
