zap	-2.7283282725643994
yob	-2.1855472030690906
trove	-1.1676266739532615
bray	-1.342168125268259
crick	-1.3698403276506828
pang	-1.2401143308603328
snip	-2.171895597197387
slue	-1.4630956539428375
yew	-1.805426136005747
dote	-1.6114468017746186
lank	-1.4035552585793325
daw	-1.569751439361552
peek	-1.4749030174890625
whinge	-1.1062025372677284
scoot	-1.6076562153398504
tine	-1.3569886936634068
cress	-1.2016529244130751
swat	-1.5276728736121667
rind	-1.2816746180333414
brawn	-1.4850518627875
boll	-1.285870170484404
smite	-1.5734855577326463
wych	-1.7375407461458003
fen	-1.2702767028468738
crock	-1.3653673229676575
mush	-1.4057117910015022
whisk	-1.3630379144835596
scrump	-1.8142552959323417
lisp	-1.964678144605429
eaves	-1.3837410007142978
tench	-1.4307585649165824
stook	-1.2955514993264632
shoo	-1.304569298538451
puss	-1.509019418117351
swizz	-2.239938245281855
mope	-1.7553274349392693
swoon	-1.7410670163164526
traipse	-2.020263052458563
spunk	-1.8966197856679596
talc	-2.2571239162291468
henge	-1.5404944631444546
weft	-2.09629484287996
grime	-1.4758955381032655
sled	-1.275462022803914
craps	-1.4944649525203173
twit	-1.21613796164828
bushed	-1.5125468563816238
glitch	-1.5261914861845736
chaff	-1.752171181756081
waft	-1.6768441474636797
jiff	-1.8940474501471083
lorn	-1.5002238021415366
poult	-1.4446209092129174
flout	-1.3690928473272281
baste	-1.3885519127418025
tights	-1.3711940490108765
tram	-1.2796393211047505
blotch	-1.8421085298652564
fudge	-1.5759118149092637
cheep	-1.8506914668683945
cot	-1.225934835042861
jog	-2.202609940346304
jeer	-1.8752179751435467
squelch	-1.7755890270214254
scroll	-1.4365984045725777
doss	-1.4636910433556451
gape	-1.9105506566901833
splay	-1.3305859758454348
doh	-2.0489539049206336
shoal	-1.6380324221252422
drub	-1.7835469788171299
cringe	-1.3390435060798545
krolns	-2.312214490144498
smeaup	-2.3012797614768807
fese	-1.4225378720707096
glolge	-2.3756453907923936
schlauntz	-2.6803997207085213
thraurls	-2.2138864102625218
wreerced	-1.9222298590908515
foulmed	-1.609888849170416
dalch	-1.8221799937857308
gwoorbed	-2.510996205407109
sneaurp	-2.3859244069012946
fouxts	-2.206866885746643
shourque	-1.5918647307307883
veaub	-2.64030814409205
maurk	-2.080968221716217
kairn	-2.4282548780291418
waunth	-2.1984696641099912
skraemth	-3.3190846788971835
schelts	-1.7195547902601864
stauct	-1.6869724932478747
dwedst	-2.335809280373504
scroomb	-1.9547514643770822
flamphs	-1.9070444224575331
phimps	-1.5433990241537026
knedged	-1.4614265449125754
draz	-2.1880500109853145
skultz	-2.1204564095958793
fousps	-1.934696053409566
fralls	-1.3371500885873173
ilns	-2.3878376646792328
schlalves	-2.385943872578121
steence	-1.3020843029745006
tweethed	-1.477346336771866
thraund	-1.7429298629757357
grelm	-1.769080811631059
kraelmed	-2.3764244334697637
neepth	-1.7852554610863902
wraeques	-2.0203142125361375
crulge	-1.863906628515639
graffs	-1.557654816138848
pilb	-1.986026990518863
sealth	-1.7731082179654802
sphort	-1.5914207113736023
prulm	-2.141900339252107
cleds	-1.4619122778805027
queaurb	-2.391095218177832
spoorled	-1.7481492635585456
sneermed	-1.9921440077581867
norled	-1.462663754938541
groobed	-1.9862873774446024
fruss	-1.5663881464668548
phaints	-1.6606033394988877
foord	-1.4383656771726303
spultz	-1.8478897357500554
trairfs	-2.059205529807758
rhushed	-2.0613860964500046
slipse	-1.7844043056463292
twoons	-1.4592434376214172
shrupt	-1.8853004958494541
scasts	-1.5622933582963072
quanst	-1.6323778144717944
thaists	-1.533934070308507
darp	-1.8246410078782365
zalped	-2.523010532353722
sweaurn	-1.9217320806472413
soths	-1.854299449684332
gnoush	-2.315317031146553
nealth	-1.8306289841997259
streends	-1.492384832184614
deaulpts	-2.1436085701949517
wranched	-1.8834126265290598
